year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2001,-0.134,-0.034,0.007,-0.019,-0.016,0.191,0.128,0.17,0.279,0.244,0.149,0.206
2002,0.174,0.158,0.138,0.02,-0.055,-0.124,-0.073,0.099,0.073,0.104,0.012,-0.003
2003,0.043,-0.02,0.105,0.072,0.144,0.198,0.269,0.408,0.445,0.419,0.216,0.217
2004,0.203,0.202,0.151,0.101,-0.001,0.17,0.22,0.309,0.233,0.235,0.214,0.18
2005,0.103,0.118,0.277,0.285,0.286,0.32,0.439,0.433,0.411,0.23,0.133,0.209
2006,0.116,0.068,0.053,0.19,0.301,0.326,0.367,0.394,0.357,0.327,0.282,0.164
2007,0.164,0.21,0.12,0.152,0.104,0.081,0.122,0.047,0.091,0.15,0.169,0.103
2008,0.023,0.121,0.151,0.035,0.165,0.249,0.199,0.168,0.191,0.095,-0.006,0.011
2009,-0.066,-0.171,-0.167,-0.138,-0.069,0.114,0.221,0.145,0.05,0.157,0.062,0.075
2010,0.032,0.17,0.28,0.418,0.452,0.44,0.443,0.518,0.442,0.316,0.228,0.2
2011,0.136,0.1,0.048,0.084,0.144,0.171,0.084,0.139,0.137,0.055,-0.078,-0.052
2012,-0.073,-0.003,0.018,0.072,0.157,0.292,0.367,0.423,0.441,0.322,0.157,0.133
2013,0.12,0.108,0.15,0.129,0.093,0.038,0.182,0.186,0.247,0.339,0.12,0.029
2014,-0.07,-0.051,-0.089,-0.102,-0.009,0.054,0.214,0.327,0.302,0.284,0.057,0.05
2015,-0.016,-0.012,-0.137,-0.08,0.037,0.021,0.124,0.17,0.292,0.316,0.178,0.221
2016,0.223,0.147,0.18,0.169,0.336,0.401,0.424,0.448,0.449,0.372,0.382,0.327
2017,0.217,0.219,0.159,0.274,0.306,0.3,0.294,0.301,0.342,0.425,0.343,0.356
2018,0.164,0.054,0.123,0.055,-0.009,-0.019,0.009,0.104,0.154,0.135,-0.129,-0.068
2019,-0.023,0.072,0.113,0.115,0.079,0.165,0.344,0.33,0.237,0.15,0.102,0.156
2020,0.088,0.348,0.36,0.361,0.258,0.264,0.355,,,,,
