year,rcp,had,had_025,had_975,cw,cw_1sigma,giss,trf,volc,solar,anthro,ghg,co2ch4n2o,fgassum,mhalosum,aerosols,other,soi,amo,had_full,cw_full,giss_full,volc_mean,soi_mean,amo_mean
2097,rcp26,NA,NA,NA,NA,NA,NA,2.5283353,0,0.07252875,2.4558066,2.994848,2.7683966,0.13769431,0.088757074,-0.14264639,-0.396395068,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
2098,rcp26,NA,NA,NA,NA,NA,NA,2.5956011,0,0.14625187,2.4493492,2.9866504,2.76122,0.13781204,0.087618353,-0.14095457,-0.396346611,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
2099,rcp26,NA,NA,NA,NA,NA,NA,2.6239382,0,0.18119062,2.4427475,2.9782953,2.7539195,0.13788045,0.086495404,-0.13926276,-0.396285059,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
2100,rcp26,NA,NA,NA,NA,NA,NA,2.6258126,0,0.19056187,2.4352507,2.9700224,2.7467299,0.13790337,0.085389132,-0.1379939,-0.396777805,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
1866,rcp45,0.0582666666666667,-0.161733333333333,0.265266666666667,-0.00673333333333331,0.066,NA,0.15596621,0.21907859,-0.0242375,0.18020371,0.264828,0.26472348,0,0.00010452,-0.049152494,-0.035471797,-0.25,0.205083333333333,0.0582666666666667,-0.00673333333333331,NA,0.21907859,-0.25,0.205083333333333
1867,rcp45,-0.0107333333333333,-0.224733333333333,0.199266666666667,-0.0577333333333333,0.066,NA,0.1505226,0.22901714,-0.024600625,0.17512323,0.26787348,0.26776222,0,0.0001112605,-0.050998163,-0.041752084,-0.0833333333333333,0.143583333333333,-0.0107333333333333,-0.0577333333333333,NA,0.22901714,-0.0833333333333333,0.143583333333333
1868,rcp45,0.0722666666666667,-0.137733333333333,0.272266666666667,0.0282666666666667,0.066,NA,0.17369163,0.23107339,-0.0025725,0.17626413,0.27138324,0.27126523,0,0.0001180075,-0.052157318,-0.042961786,-1.38333333333333,0.155916666666667,0.0722666666666667,0.0282666666666667,NA,0.23107339,-1.38333333333333,0.155916666666667
1869,rcp45,0.0412666666666667,-0.147733333333333,0.227266666666667,-0.00273333333333331,0.065,NA,0.21785672,0.22284839,0.03553375,0.18232298,0.27535688,0.27523214,0,0.000124748,-0.052479537,-0.040554374,0.625,0.0970833333333333,0.0412666666666667,-0.00273333333333331,NA,0.22284839,0.625,0.0970833333333333
1870,rcp45,0.0282666666666667,-0.144733333333333,0.196266666666667,-0.0467333333333333,0.06,NA,0.25113271,0.21873589,0.06412875,0.18700396,0.27938161,0.27925015,0,0.0001314625,-0.05286365,-0.039513993,-0.266666666666667,0.02,0.0282666666666667,-0.0467333333333333,NA,0.21873589,-0.266666666666667,0.02
1871,rcp45,-0.0297333333333333,-0.211733333333333,0.147266666666667,-0.0617333333333333,0.058,NA,0.24939782,0.2194213,0.06727,0.18212782,0.2837839,0.28364571,0,0.00013819,-0.056344098,-0.045311981,-0.283333333333333,0.0331666666666667,-0.0297333333333333,-0.0617333333333333,NA,0.2194213,-0.283333333333333,0.0331666666666667
