mu,sigma,tcr_mean,yr_converge,yr_start,thresh,run
0.1,0.158,1.46042781500705,2015,1975,1.5,evid
0,0.158,1.46663500424701,2016,1975,1.5,evid
1,0.139,1.45617462442452,1990,1990,1.5,evid
0.9,0.139,1.45728478496358,1997,1990,1.5,evid
0.8,0.139,1.45111289565932,2002,1990,1.5,evid
0.7,0.139,1.45119068274471,2007,1990,1.5,evid
0.6,0.139,1.46305571290616,2012,1990,1.5,evid
0.5,0.139,1.46859708684293,2014,1990,1.5,evid
0.4,0.139,1.45941517082395,2015,1990,1.5,evid
0.3,0.139,1.46159834128848,2016,1990,1.5,evid
0.2,0.139,1.45153123831637,2021,1990,1.5,evid
0.1,0.139,1.45578194727933,2022,1990,1.5,evid
0,0.139,1.45180960516899,2027,1990,1.5,evid
1,0.12,1.45246392566052,1998,1998,1.5,evid
0.9,0.12,1.45473267482219,2007,1998,1.5,evid
0.8,0.12,1.46040693217903,2012,1998,1.5,evid
0.7,0.12,1.46212713466976,2014,1998,1.5,evid
0.6,0.12,1.46260825753997,2016,1998,1.5,evid
0.5,0.12,1.46548171782989,2022,1998,1.5,evid
0.4,0.12,1.45536503465986,2027,1998,1.5,evid
0.3,0.12,1.4509246244056,2029,1998,1.5,evid
0.2,0.12,1.45704033208919,2033,1998,1.5,evid
0.1,0.12,1.4570398972012,2034,1998,1.5,evid
0,0.12,1.46054381098418,2036,1998,1.5,evid
1,0.102,1.46451474944565,2012,2012,1.5,evid
0.9,0.102,1.45759314981056,2014,2012,1.5,evid
0.8,0.102,1.45472127588337,2016,2012,1.5,evid
0.7,0.102,1.45233096259689,2022,2012,1.5,evid
0.6,0.102,1.45211983261715,2032,2012,1.5,evid
0.5,0.102,1.46029982362883,2034,2012,1.5,evid
0.4,0.102,1.45867855321444,2036,2012,1.5,evid
0.3,0.102,1.45218507582067,2038,2012,1.5,evid
0.2,0.102,1.45575914226699,2041,2012,1.5,evid
0.1,0.102,1.4518779436546,2043,2012,1.5,evid
0,0.102,1.45024375013114,2044,2012,1.5,evid
1,0.084,1.45070217380048,2016,2016,1.5,evid
0.9,0.084,1.45428986388975,2029,2016,1.5,evid
0.8,0.084,1.45899266493138,2034,2016,1.5,evid
0.7,0.084,1.45274506532331,2036,2016,1.5,evid
0.6,0.084,1.45594163310346,2041,2016,1.5,evid
0.5,0.084,1.45863971226245,2044,2016,1.5,evid
0.4,0.084,1.456261624664,2046,2016,1.5,evid
0.3,0.084,1.46135778470927,2050,2016,1.5,evid
0.2,0.084,1.45123965781193,2054,2016,1.5,evid
0.1,0.084,1.45067901667509,2056,2016,1.5,evid
0,0.084,1.46103096848083,2060,2016,1.5,evid
1,0.065,1.45247179023984,2036,2036,1.5,evid
0.9,0.065,1.45144283118032,2043,2036,1.5,evid
0.8,0.065,1.45045404675945,2046,2036,1.5,evid
0.7,0.065,1.45162025507287,2054,2036,1.5,evid
0.6,0.065,1.45298526319616,2058,2036,1.5,evid
0.5,0.065,1.45326901820069,2065,2036,1.5,evid
0.4,0.065,1.45314213623723,2069,2036,1.5,evid
0.3,0.065,1.4551824524711,2073,2036,1.5,evid
0.2,0.065,1.45651945683886,2077,2036,1.5,evid
0.1,0.065,1.45361663870617,2084,2036,1.5,evid
0,0.065,1.45196704055177,2089,2036,1.5,evid
