"scc","prior"
1246.9643493312549,"ni"
70.57761902298381,"ni"
49.08598358011067,"ni"
49.070781387328466,"ni"
63.221122440703226,"ni"
59.37492719948345,"ni"
102.3868033939237,"ni"
58.44583258871387,"ni"
40.57849638377765,"ni"
32.97048834701121,"ni"
32.41577757918639,"ni"
34.25685519107929,"ni"
43.20534594279479,"ni"
74.70804342102258,"ni"
58.319742307140466,"ni"
231.64788769678972,"ni"
55.83120369052654,"ni"
69.24480324244853,"ni"
34.94786641711895,"ni"
54.78805822389261,"ni"
34.87590985142136,"ni"
34.1395617298689,"ni"
44.69201399260399,"ni"
48.09682145403214,"ni"
52.167114173789784,"ni"
32.08877005061148,"ni"
31.84440925952417,"ni"
35.98532412871464,"ni"
116.02640260656402,"ni"
83.66768429455294,"ni"
29.951000361411367,"ni"
26.71830805713473,"ni"
87.006185345439,"ni"
54.60242337180026,"ni"
28.370850274450785,"ni"
47.68447683751305,"ni"
69.62746004331464,"ni"
34.36826496029434,"ni"
75.71044551874917,"ni"
839.5496244737539,"ni"
81.8604274236725,"ni"
91.26399494635488,"ni"
108.00839579479145,"ni"
153.08612362806133,"ni"
61.51439216889177,"ni"
35.99076903737909,"ni"
74.26243064113913,"ni"
66.78607575552488,"ni"
79.45197768395063,"ni"
68.3339175517901,"ni"
51.52027062241643,"ni"
53.02833938264638,"ni"
123.83755608773919,"ni"
34.530522296914356,"ni"
97.85880327659751,"ni"
98.61890186586199,"ni"
49.68881050656324,"ni"
11.21484389422249,"ni"
46.1705014278872,"ni"
80.09604114704197,"ni"
39.88562492578875,"ni"
74.8141079118589,"ni"
200.41268545158545,"ni"
33.45506567259682,"ni"
29.451907842664454,"ni"
66.31022361888733,"ni"
32.417116692182574,"ni"
67.95172708326407,"ni"
96.4443634866393,"ni"
18.12815123620724,"ni"
48.99066984918983,"ni"
29.051217323518717,"ni"
220.07671322008562,"ni"
48.238153480577786,"ni"
52.16800581620141,"ni"
23.847860961066974,"ni"
37.38875377274171,"ni"
83.83840469679559,"ni"
46.05145666741506,"ni"
139.5775200918595,"ni"
127.02989579423947,"ni"
61.79597940492042,"ni"
119.61660686308339,"ni"
605.1306944185675,"ni"
10.2912213225601,"ni"
79.46805529302584,"ni"
18.37782002224876,"ni"
21.983867907196498,"ni"
123.24652900046243,"ni"
63.5191551849233,"ni"
34.60322495864665,"ni"
35.95729610086392,"ni"
32.484555705566954,"ni"
92.65484861856281,"ni"
167.3201002684814,"ni"
53.37543055775413,"ni"
46.4107897139358,"ni"
109.36866522622088,"ni"
16.745641270011042,"ni"
42.56963008709013,"ni"
35.90061989615014,"ni"
40.83877620546917,"ni"
442.21183678501745,"ni"
131.57891278880925,"ni"
75.65971771043633,"ni"
29.89006455616493,"ni"
115.97589010542323,"ni"
80.02121587755857,"ni"
33.18797272042967,"ni"
30.615654776064485,"ni"
40.35221714938659,"ni"
76.67946232935793,"ni"
93.58358320059297,"ni"
56.73527691994721,"ni"
47.86212615107537,"ni"
93.34009371871234,"ni"
43.56439470522777,"ni"
39.128957696925696,"ni"
436.9537126748527,"ni"
86.01482075800239,"ni"
85.34002650544873,"ni"
58.88423492918764,"ni"
74.97754157033678,"ni"
78.47955029901647,"ni"
11.053145443090818,"ni"
90.03568440194226,"ni"
81.46160110301356,"ni"
109.62145040782738,"ni"
40.61891160418807,"ni"
14.336019635151189,"ni"
99.0342110467958,"ni"
42.769284946510375,"ni"
40.49558625745858,"ni"
41.48462133844932,"ni"
39.38636204996347,"ni"
174.81572509389923,"ni"
511.4540071495955,"ni"
32.01072359999037,"ni"
29.9613044808327,"ni"
74.92893961677909,"ni"
217.06356812284832,"ni"
85.1475335633379,"ni"
36.166173621926774,"ni"
62.691481899263415,"ni"
80.8358124554268,"ni"
178.2186134563472,"ni"
36.14359442699253,"ni"
71.72253392754729,"ni"
111.20617433878344,"ni"
553.9352594825881,"ni"
59.747969478766535,"ni"
86.2599444207241,"ni"
44.20625653992253,"ni"
78.2449133460556,"ni"
26.296463550755114,"ni"
34.527473825096926,"ni"
61.26414167065229,"ni"
30.234536006370607,"ni"
90.32904289447816,"ni"
94.02671606756785,"ni"
179.4552400028781,"ni"
17.119213643533847,"ni"
29.55932867129747,"ni"
56.57116045103069,"ni"
45.3002311307599,"ni"
72.77625493635742,"ni"
79.09675177895008,"ni"
97.98910436827126,"ni"
34.889670595114374,"ni"
12.341221948797514,"ni"
41.137939926980394,"ni"
119.91653077693576,"ni"
108.47798528640988,"ni"
158.7717776364634,"ni"
41.984199357596914,"ni"
92.05521809173153,"ni"
86.76650528979933,"ni"
36.08501704315347,"ni"
50.77074590729303,"ni"
78.00781387670341,"ni"
45.967005642025775,"ni"
36.3829450616354,"ni"
357.45428372265894,"ni"
17.364178884519,"ni"
37.58989125065226,"ni"
2675.3386917122175,"ni"
71.05100524428079,"ni"
42.23549075029167,"ni"
1326.8630009002918,"ni"
38.491257469324694,"ni"
27.245329012988368,"ni"
116.38129709631704,"ni"
34.656250295100335,"ni"
80.30692382897524,"ni"
90.00737486587805,"ni"
41.44411774121637,"ni"
28.351860420258507,"ni"
70.49391718017529,"ni"
29.35434906985109,"ni"
20.70800020448026,"ni"
71.70588741196497,"ni"
87.6923953440527,"ni"
41.75003782538891,"ni"
39.89539039232612,"ni"
90.12505302468085,"ni"
46.72957710231884,"ni"
25.85719007129071,"ni"
49.036866796119504,"ni"
79.43705627072322,"ni"
129.55728575169388,"ni"
48.68893197656983,"ni"
48.76289364915388,"ni"
79.98993691319656,"ni"
19.78481246683091,"ni"
52.13681139682086,"ni"
154.51315594990376,"ni"
45.07711767119234,"ni"
38.10743685388791,"ni"
17.574221998994144,"ni"
