year,rcp,had,had_025,had_975,cw,cw_1sigma,giss,trf,volc,solar,anthro,ghg,co2ch4n2o,co2,fgassum,mhalosum,aerosols,other,soi,amo,had_full,cw_full,giss_full,volc_mean,soi_mean,amo_mean
2014,rcp85,,0.792666666666667,0.970666666666667,,0.031,,2.382306,,0.13018687,2.2521191,2.9870286,2.6349381,1.9530678,0.040163514,0.31192696,-0.37569976,-0.359209755,-0.683333333333333,0.0805833333333333,0.880666666666667,0.919666666666667,0.931666666666667,0.0178146542751773,-0.683333333333333,0.0805833333333333
2015,rcp85,,0.976666666666667,1.15466666666667,,0.032,,2.3855334,,0.086078125,2.2994553,3.031456,2.6778682,1.9881493,0.042909397,0.31067839,-0.37637463,-0.355626061,-1.91666666666667,0.0928333333333333,1.06466666666667,1.05966666666667,1.07166666666667,0.0178146542751773,-1.91666666666667,0.0928333333333333
2016,rcp85,,1.01066666666667,1.18766666666667,,0.031,,2.4074243,,0.059268125,2.3481562,3.077117,2.7220192,2.0240135,0.04571321,0.30938465,-0.3770495,-0.351911341,,0.3215,1.09866666666667,1.17166666666667,1.19166666666667,0.0178146542751773,-0.0956111111111111,0.3215
2017,rcp85,,0.888666666666667,1.07066666666667,,0.031,,2.4412138,,0.043176875,2.3980369,3.1238341,2.7672096,2.0605256,0.048569543,0.30805492,-0.37772438,-0.348072739,,0.294666666666667,0.978666666666667,1.03566666666667,1.10166666666667,0.0178146542751773,-0.0956111111111111,0.294666666666667
2018,rcp85,,0.812666666666667,0.987666666666667,,0.032,,2.4812484,,0.032265625,2.4489828,3.1715105,2.8133327,2.0976187,0.051473754,0.30670404,-0.37839925,-0.344128452,,0.04775,0.898666666666667,0.978666666666667,1.02166666666667,0.0178146542751773,-0.0956111111111111,0.04775
2019,rcp85,,0.945666666666667,1.13066666666667,,0.032,,2.5270137,,0.025655,2.5013587,3.2200824,2.8603402,2.1352784,0.054421885,0.30532033,-0.37907412,-0.339649563,,0.153333333333333,1.03766666666667,1.11566666666667,,0.0178146542751773,-0.0956111111111111,0.153333333333333
2020,rcp85,,,,,,,2.6282017,,0.07252875,2.5556729,3.2695042,2.9081978,2.1735014,0.057410434,0.30389597,-0.37921496,-0.334616292,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2021,rcp85,,,,,,,2.7583734,,0.14625187,2.6121215,3.3196014,2.9567488,2.2121869,0.060434965,0.30241759,-0.37828777,-0.329192137,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2022,rcp85,,,,,,,2.8502151,,0.18119062,2.6690245,3.3701616,3.0058406,2.2512548,0.063442985,0.300878,-0.37682654,-0.324310572,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2023,rcp85,,,,,,,2.9161326,,0.19056187,2.7255707,3.4212342,3.0555613,2.2908228,0.066390194,0.2992827,-0.37536532,-0.320298147,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
